experiment,test_accuracy,epoch,accuracy,loss,val_accuracy,val_loss,recall,f1_score,mcc,epoch_time
vgg16_5e-05_12,0.8487544483985765,,,,,,,,,
vgg16_5e-05_8,0.8202846975088968,,,,,,,,,
vgg16_5e-05_10,0.8380782918149466,,,,,,,,,
vgg16_0.0001_10,0.8825622775800712,,,,,,,,,
vgg16_0.001_10,0.9412811387900356,,,,,,,,,
vgg16_0.001_12,0.9466192170818504,,,,,,,,,
vgg16_0.001_8,0.9412811387900356,,,,,,,,,
vgg16_0.0001_12,0.8790035587188612,,,,,,,,,
vgg16_0.0001_8,0.8701067615658363,,,,,,,,,
resnet50_5e-05_10,0.9715302491103204,,,,,,,,,
resnet50_5e-05_12,0.9715302491103204,,,,,,,,,
resnet50_5e-05_8,0.9661921708185054,,,,,,,,,
resnet50_0.0001_10,0.9786476868327402,,,,,,,,,
resnet50_0.0001_12,0.9750889679715302,,,,,,,,,
resnet50_0.0001_8,0.9697508896797152,,,,,,,,,
resnet50_0.001_10,0.9733096085409252,,,,,,,,,
resnet50_0.001_12,0.9804270462633452,,,,,,,,,
resnet50_0.001_8,0.98220640569395,,,,,,,,,
restnet50_5e-05_10,,1.0,0.7523106932640076,0.6588451266288757,0.9492431282997131,0.1915256828069687,0.9492296374030144,0.9511982829581968,0.9300250846132277,228.85
restnet50_5e-05_10,,2.0,0.9081658720970154,0.2844606637954712,0.9572573304176331,0.14501126110553741,0.9577639084356778,0.9596428698742573,0.9410989671559383,207.76
restnet50_5e-05_10,,3.0,0.9285169243812561,0.22143223881721497,0.9643810987472534,0.12461242824792862,0.9670049618237427,0.9669677342428562,0.9509355089046361,205.16
restnet50_5e-05_10,,4.0,0.9316543936729431,0.19533351063728333,0.9652715921401978,0.11414200812578201,0.9672950517907251,0.9678672911903186,0.9521549630069542,192.44
restnet50_5e-05_10,,5.0,0.9404731392860413,0.17486630380153656,0.9661620855331421,0.10501831024885178,0.9696868040984717,0.9687543525782849,0.953407423201914,191.08
restnet50_5e-05_10,,6.0,0.9486984014511108,0.15589402616024017,0.9643810987472534,0.10118639469146729,0.9656117793428283,0.9667762279421613,0.9509582810536333,176.63
restnet50_5e-05_10,,7.0,0.950733482837677,0.14004191756248474,0.9652715921401978,0.09951630979776382,0.9668987416321942,0.9674652153970721,0.9521887335553556,154.25
restnet50_5e-05_10,,8.0,0.9544644951820374,0.13582085072994232,0.9697239398956299,0.09403282403945923,0.9722641236861006,0.9714642327881652,0.9583282998381477,153.78
restnet50_5e-05_10,,9.0,0.9592130780220032,0.12583240866661072,0.9715049266815186,0.0890425592660904,0.9736642096996723,0.9728601744845469,0.9607826951040368,151.04
restnet50_5e-05_10,,10.0,0.9596370458602905,0.12152230739593506,0.9723953604698181,0.092043936252594,0.9748069757577713,0.9735385237214911,0.9620426013146957,153.16
